MLBCODE,full_name
124693,Dmitri Young
232694,Casey Blake
111957,Jay Canizaro
150212,Michael Cuddyer
150106,Tony Fiore
407864,Kevin Frederick
115216,Eddie Guardado
150217,Cristian Guzman
115629,LaTroy Hawkins
116000,Dennis Hocking
116338,Torii Hunter
116436,Mike Jackson
407053,Adam Johnson
150218,Jacque Jones
282878,Bobby Kielty
150219,Matt Kinney
136731,Corey Koskie
150220,Matt LeCroy
346798,Kyle Lohse
150222,Joe Mays
137006,Doug Mientkiewicz
132980,Eric Milton
407380,Dustan Mohr
120074,David Ortiz
150229,A.J. Pierzynski
120771,Tom Prince
120878,Brad Radke
120999,Rick Reed
282879,Michael Restovich
346799,Juan Rincon
276372,Luis Rivas
240694,J.C. Romero
408050,Michael Ryan
276371,Johan Santana
331492,Todd Sears
346801,Brad Thomas
123609,Javier Valentin
124077,Bob Wells
335092,Rocky Biddle
400021,Joe Borchard
279824,Mark Buehrle
112381,Royce Clayton
150317,Joe Crede
114342,Keith Foulke
279782,Jon Garland
215197,Matt Ginter
150474,Gary Glover
115017,Tony Graffanino
407483,Willie Harris
150090,D'Angelo Jimenez
150322,Mark Johnson
117244,Paul Konerko
150324,Carlos Lee
150325,Jeff Liefer
150122,Damaso Marte
400018,Miguel Olivo
120044,Magglio Ordonez
120107,Antonio Osuna
133220,Jim Parque
150331,Josh Paul
150053,Mike Porzio
400010,Jon Rauch
121234,Todd Ritchie
400023,Aaron Rowand
123245,Frank Thomas
123610,Jose Valentin
216106,Dan Wright
279823,Kelly Wunsch
329092,Randy Choate
112388,Roger Clemens
112641,Ron Coomer
114739,Jason Giambi
408214,Drew Henson
133340,Orlando Hernandez
406324,Adrian Hernandez
115982,Sterling Hitchcock
116539,Derek Jeter
276376,Nick Johnson
116853,Steve Karsay
150284,Brandon Knight
118947,Ramiro Mendoza
119247,Raul Mondesi
119608,Mike Mussina
120485,Andy Pettitte
120691,Jorge Posada
121250,Mariano Rivera
407487,Juan Rivera
150093,Alfonso Soriano
133341,Shane Spencer
122681,Mike Stanton
407801,Marcus Thames
123327,Mike Thurman
123639,John Vander Wal
123697,Robin Ventura
213711,Jeff Weaver
124071,David Wells
124185,Rondell White
124234,Chris Widger
124288,Bernie Williams
124388,Enrique Wilson
110394,Bruce Aven
110450,Cory Bailey
150397,Matt Blank
150375,Hiram Bocachica
111241,Toby Borland
408226,Juan Brito
112223,Raul Chavez
112415,Ken Cloude
112496,Lou Collier
112552,David Cone
150001,Brian Cooper
407579,Mark Corey
150162,Jack Cressend
113026,Jeff D'Amico
150470,Tom Davey
113291,Delino DeShields
285079,R.A. Dickey
113793,Cal Eldred
113819,Robert Ellis
114233,Darrin Fletcher
150107,Jose Flores
276356,Wayne Franklin
150472,Ryan Freel
136728,Chris Fussell
114499,Mike Fyhrie
340393,Ross Gload
400146,Junior Herndon
116114,Mike Holtz
116248,Trenidad Hubbard
116400,Hideki Irabu
407875,Hansel Izquierdo
116959,Roberto Kelly
407482,Eric Knott
117420,Tim Laker
150138,David Lamb
276530,Scott Linebrink
117800,Doug Linton
133741,Mendy Lopez
117929,Andrew Lorraine
117957,Sean Lowe
276509,Jim Mann
118329,Al Martin
118353,Tom Martin
408240,Julius Matos
150347,Mike Matthews
118560,David McCarty
150092,Donzell McDonald
119023,Dan Miceli
119064,Damian Miller
119125,Trever Miller
150023,Gabe Molina
119348,Mike Mordecai
150255,Warren Morris
119583,Heath Murray
408107,Bry Nelson
119775,Chris Nichting
276518,Doug Nickle
408242,Wil Nieves
