season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,136500,SF,3,1,0,0,0,0,0.1407142857142857
2010,136500,SL,158,70,6,0,0,1,0.10628571428571428
2010,136600,CH,1,1,0,0,0,0,0.1407142857142857
2010,136600,FB,2,1,1,0,0,0,0.89
2010,136600,SL,1,0,0,0,0,0,0.1407142857142857
2010,136660,CB,34,10,3,0,0,0,0.267
2010,136660,CH,28,10,0,0,0,0,0.1407142857142857
2010,136660,CT,24,10,0,0,0,0,0.1407142857142857
2010,136660,FB,219,104,10,3,0,1,0.14240384615384616
2010,136660,KN,11,4,0,0,0,0,0.1407142857142857
2010,136660,SF,19,10,0,0,0,0,0.1407142857142857
2010,136660,SL,56,30,1,0,0,0,0.029666666666666668
2010,136722,CB,77,25,1,0,0,1,0.1196
2010,136722,CH,154,83,10,3,1,0,0.1726506024096386
2010,136722,CT,54,28,2,0,0,0,0.06357142857142857
2010,136722,FB,622,331,24,14,0,4,0.14362537764350453
2010,136722,KN,4,2,0,0,0,0,0.1407142857142857
2010,136722,SF,13,8,1,0,0,1,0.37375
2010,136722,SL,89,51,7,0,0,0,0.12215686274509804
2010,136734,CB,2,0,0,0,0,0,0.1407142857142857
2010,136734,CH,1,0,0,0,0,0,0.1407142857142857
2010,136767,CB,37,7,2,1,0,0,0.4357142857142857
2010,136767,CH,53,34,3,1,0,0,0.11588235294117645
2010,136767,CT,13,8,1,0,0,0,0.11125
2010,136767,FB,315,159,10,5,0,1,0.10911949685534593
2010,136767,SF,5,2,0,0,0,0,0.1407142857142857
2010,136767,SL,42,27,1,1,0,0,0.08
2010,136770,CB,252,61,6,0,1,0,0.11409836065573772
2010,136770,CH,267,116,11,6,0,4,0.2225000000000001
2010,136770,CT,119,63,9,2,0,1,0.2007936507936508
2010,136770,FB,1298,469,39,14,1,16,0.1870149253731344
2010,136770,SF,21,11,0,0,0,0,0.1407142857142857
